CLIENT_NAME,lounge_name,lounge_id,DATE_UTC,COUNT_PAX_ALLOWED,COUNT_PAX_REFUSED
LH,LH-LEJ-BUS,562,2023-05-30,0,0
LH,LH-LEJ-SEN,563,2023-05-30,0,0
LH,LH-LHR-BUS,545,2023-05-30,771,138
LH,LH-LHR-SEN,546,2023-05-30,631,0
LH,LH-MUC-BUS-SAT-K,513,2023-05-30,733,232
LH,LH-MUC-BUS-SAT-L,515,2023-05-30,368,85
LH,LH-MUC-BUS-T2-G,505,2023-05-30,1562,423
LH,LH-MUC-BUS-T2-H,511,2023-05-30,620,153
LH,LH-MUC-DELIGHTS TO GO,516,2023-05-30,0,0
LH,LH-MUC-FCL-SAT,570,2023-05-30,109,6
LH,LH-MUC-FCL-T2,569,2023-05-30,199,137
LH,LH-MUC-SEN CAFE,504,2023-05-30,195,18
LH,LH-MUC-SEN-SAT-K,512,2023-05-30,649,0
LH,LH-MUC-SEN-SAT-L,514,2023-05-30,253,0
LH,LH-MUC-SEN-T2,509,2023-05-30,441,138
LH,LH-MUC-SEN-T2-G,506,2023-05-30,720,0
LH,LH-MUC-SEN-T2-H,510,2023-05-30,461,0
LH,LH-MXP-BUS,547,2023-05-30,472,57
LH,LH-NUE-BUS,564,2023-05-30,0,0
LH,LH-NUE-SEN,565,2023-05-30,0,0
LH,LH-STR-BUS,566,2023-05-30,0,0
LH,LH-STR-SEN,567,2023-05-30,0,0
LH,LH-TXL-BUS,548,2023-05-30,0,0
LH,LH-TXL-SEN,549,2023-05-30,0,0
LH,LH-ATH-BUS,528,2023-05-31,516,52
LH,LH-BER-BUS,576,2023-05-31,873,214
LH,LH-BER-SEN,577,2023-05-31,0,0
LH,LH-BOS-BUS,529,2023-05-31,183,57
LH,LH-BOS-FCL,530,2023-05-31,14,0
LH,LH-BRE-BUS,550,2023-05-31,0,0
LH,LH-BRE-SEN,551,2023-05-31,0,0
LH,LH-CDG-BUS,531,2023-05-31,202,57
LH,LH-CDG-SEN,532,2023-05-31,131,0
LH,LH-CGN-BUS,552,2023-05-31,0,0
LH,LH-CGN-SEN,553,2023-05-31,0,0
LH,LH-DEL-BUS,533,2023-05-31,0,0
LH,LH-DEL-SEN,534,2023-05-31,0,0
LH,LH-DRS-BUS,558,2023-05-31,0,0
LH,LH-DRS-SEN,559,2023-05-31,0,0
LH,LH-DTW-BUS,535,2023-05-31,259,91
LH,LH-DTW-SEN,536,2023-05-31,7,0
LH,LH-DUS-BUS,560,2023-05-31,566,164
LH,LH-DUS-SEN,561,2023-05-31,456,0
LH,LH-DXB-BUS,537,2023-05-31,53,4
LH,LH-DXB-SEN,538,2023-05-31,36,0
LH,LH-EWR-BUS,539,2023-05-31,164,19
LH,LH-EWR-SEN,540,2023-05-31,73,0
LH,LH-FRA-BUS-A,517,2023-05-31,1538,329
LH,LH-FRA-BUS-A-WEST,518,2023-05-31,481,145
LH,LH-FRA-BUS-B-OST,519,2023-05-31,643,75
LH,LH-FRA-BUS-B-WEST,508,2023-05-31,795,109
LH,LH-FRA-BUS-C14-C15,520,2023-05-31,191,36
LH,LH-FRA-BUS-C16,521,2023-05-31,0,0
LH,LH-FRA-BUS-Z,522,2023-05-31,874,144
LH,LH-FRA-FCL-A,572,2023-05-31,169,61
LH,LH-FRA-FCL-B,573,2023-05-31,38,6
LH,LH-FRA-FCL-TERMINAL,571,2023-05-31,190,15
LH,LH-FRA-PANORAMA,527,2023-05-31,721,117
LH,LH-FRA-SEN-A,524,2023-05-31,1496,438
LH,LH-FRA-SEN-B,525,2023-05-31,526,229
LH,LH-FRA-SEN-C,526,2023-05-31,6,0
LH,LH-FRA-SEN-Z,523,2023-05-31,620,0
LH,LH-FRA-WELCOME,574,2023-05-31,33,11
LH,LH-HAJ-BUS,554,2023-05-31,127,42
LH,LH-HAJ-SEN,555,2023-05-31,98,0
LH,LH-HAM-BUS,556,2023-05-31,554,111
LH,LH-HAM-SEN,557,2023-05-31,518,0
LH,LH-IAD-BUS,541,2023-05-31,241,56
LH,LH-IAD-SEN,542,2023-05-31,59,0
